date;count;unique;total
1554681600;21;7;7
1554768000;17;7;14
1555286400;3;2;16
1555372800;3;2;18
1555891200;14;7;25
1555977600;14;7;32
1556496000;15;8;40
1556582400;15;8;48
1557100800;4;4;52
1557187200;4;4;56
1557705600;5;5;61
1557792000;5;5;66
1560124800;19;4;70
1560211200;19;4;74
1560729600;2;2;76
1560816000;2;2;78
1561420800;5;3;81
1561939200;8;4;85
1562025600;8;4;89
1562544000;9;4;93
1563148800;14;5;98
1563753600;13;4;102
1563840000;13;4;106
1564358400;14;5;111
1564444800;14;5;116
1564963200;22;8;124
1565049600;23;9;133
1565568000;13;6;139
1566172800;3;3;142
1566259200;11;3;145
1566777600;10;2;147
1566864000;10;2;149
1567382400;16;4;153
1567987200;8;2;155
1568592000;13;5;160
1569196800;11;4;164
1569801600;5;3;167
1570406400;5;3;170
1571011200;6;3;173
1571097600;4;2;175
1571616000;4;2;177
1572220800;14;8;185
1572307200;14;8;193
1572825600;14;9;202
1573430400;4;4;206
1573516800;4;4;210
1574035200;2;2;212
1574640000;0;0;212
1574726400;0;0;212
1575244800;2;1;213
1575331200;2;1;214
1575849600;2;1;215
1575936000;2;1;216
